0,1,2,3
2025-04-21 20:28:49.814354+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:49.814655+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:49.934986+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:49.954722+00:00,KXBTC-25APR2117-B87250,79,77
2025-04-21 20:28:50.255322+00:00,KXBTC-25APR2117-B87250,79,77
2025-04-21 20:28:50.674395+00:00,KXBTC-25APR2117-B87250,79,77
2025-04-21 20:28:51.215506+00:00,KXBTC-25APR2117-B87250,79,77
2025-04-21 20:28:51.494998+00:00,KXBTC-25APR2117-B87250,79,77
2025-04-21 20:28:51.514732+00:00,KXBTC-25APR2117-B87250,79,77
2025-04-21 20:28:51.515285+00:00,KXBTC-25APR2117-B87250,79,77
2025-04-21 20:28:51.515681+00:00,KXBTC-25APR2117-B87250,79,76
2025-04-21 20:28:51.535455+00:00,KXBTC-25APR2117-B87250,79,76
2025-04-21 20:28:51.535912+00:00,KXBTC-25APR2117-B87250,79,76
2025-04-21 20:28:51.594214+00:00,KXBTC-25APR2117-B87250,79,76
2025-04-21 20:28:51.614410+00:00,KXBTC-25APR2117-B87250,79,76
2025-04-21 20:28:51.614808+00:00,KXBTC-25APR2117-B87250,79,76
2025-04-21 20:28:51.615167+00:00,KXBTC-25APR2117-B87250,79,76
2025-04-21 20:28:51.615523+00:00,KXBTC-25APR2117-B87250,79,76
2025-04-21 20:28:51.615896+00:00,KXBTC-25APR2117-B87250,79,76
2025-04-21 20:28:51.654518+00:00,KXBTC-25APR2117-B87250,79,76
2025-04-21 20:28:51.654885+00:00,KXBTC-25APR2117-B87250,79,76
2025-04-21 20:28:51.694886+00:00,KXBTC-25APR2117-B87250,79,76
2025-04-21 20:28:55.515072+00:00,KXBTC-25APR2117-B87250,79,76
2025-04-21 20:28:55.534897+00:00,KXBTC-25APR2117-B87250,79,76
2025-04-21 20:28:55.574271+00:00,KXBTC-25APR2117-B87250,79,76
2025-04-21 20:28:55.574740+00:00,KXBTC-25APR2117-B87250,79,76
2025-04-21 20:28:56.814934+00:00,KXBTC-25APR2117-B87250,79,76
2025-04-21 20:28:56.834797+00:00,KXBTC-25APR2117-B87250,79,76
2025-04-21 20:28:56.835166+00:00,KXBTC-25APR2117-B87250,79,76
2025-04-21 20:28:56.874870+00:00,KXBTC-25APR2117-B87250,79,76
2025-04-21 20:28:57.153980+00:00,KXBTC-25APR2117-B87250,81,76
2025-04-21 20:28:57.234021+00:00,KXBTC-25APR2117-B87250,81,76
2025-04-21 20:28:57.234392+00:00,KXBTC-25APR2117-B87250,81,76
2025-04-21 20:28:57.253942+00:00,KXBTC-25APR2117-B87250,81,76
2025-04-21 20:28:57.254313+00:00,KXBTC-25APR2117-B87250,81,76
2025-04-21 20:28:57.274006+00:00,KXBTC-25APR2117-B87250,81,76
2025-04-21 20:28:57.274375+00:00,KXBTC-25APR2117-B87250,81,76
2025-04-21 20:28:57.294414+00:00,KXBTC-25APR2117-B87250,81,76
2025-04-21 20:28:57.294785+00:00,KXBTC-25APR2117-B87250,81,76
2025-04-21 20:28:57.353534+00:00,KXBTC-25APR2117-B87250,81,76
2025-04-21 20:28:57.353909+00:00,KXBTC-25APR2117-B87250,81,76
2025-04-21 20:28:57.354260+00:00,KXBTC-25APR2117-B87250,81,76
2025-04-21 20:28:57.354597+00:00,KXBTC-25APR2117-B87250,81,76
2025-04-21 20:28:57.354895+00:00,KXBTC-25APR2117-B87250,81,76
2025-04-21 20:28:57.355192+00:00,KXBTC-25APR2117-B87250,81,76
2025-04-21 20:28:57.355489+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:57.394276+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:57.433916+00:00,KXBTC-25APR2117-B87250,81,77
2025-04-21 20:28:57.934942+00:00,KXBTC-25APR2117-B87250,80,77
2025-04-21 20:28:58.235140+00:00,KXBTC-25APR2117-B87250,80,77
2025-04-21 20:28:58.434329+00:00,KXBTC-25APR2117-B87250,80,77
2025-04-21 20:28:58.434873+00:00,KXBTC-25APR2117-B87250,80,77
2025-04-21 20:28:58.435186+00:00,KXBTC-25APR2117-B87250,80,77
2025-04-21 20:28:58.435488+00:00,KXBTC-25APR2117-B87250,80,77
2025-04-21 20:28:58.454501+00:00,KXBTC-25APR2117-B87250,80,76
2025-04-21 20:28:58.454870+00:00,KXBTC-25APR2117-B87250,80,76
2025-04-21 20:28:58.474476+00:00,KXBTC-25APR2117-B87250,80,76
2025-04-21 20:28:58.474846+00:00,KXBTC-25APR2117-B87250,80,76
2025-04-21 20:28:58.495154+00:00,KXBTC-25APR2117-B87250,80,76
2025-04-21 20:28:58.554482+00:00,KXBTC-25APR2117-B87250,80,76
2025-04-21 20:28:58.554841+00:00,KXBTC-25APR2117-B87250,80,76
2025-04-21 20:28:58.574687+00:00,KXBTC-25APR2117-B87250,80,76
2025-04-21 20:28:58.575056+00:00,KXBTC-25APR2117-B87250,80,76
2025-04-21 20:28:58.575406+00:00,KXBTC-25APR2117-B87250,80,76
2025-04-21 20:28:58.575776+00:00,KXBTC-25APR2117-B87250,80,76
